PAYS,CONTINENT
Afrique du Sud,Afrique
Algérie,Afrique
Angola,Afrique
Bénin,Afrique
Botswana,Afrique
Burkina Faso,Afrique
Burundi,Afrique
Cameroun,Afrique
Cap-Vert,Afrique
République centrafricaine,Afrique
Comores,Afrique
République du Congo,Afrique
République démocratique du Congo,Afrique
Côte d’Ivoire,Afrique
Djibouti,Afrique
Égypte,Afrique
Érythrée,Afrique
Éthiopie,Afrique
Gabon,Afrique
Gambie,Afrique
Ghana,Afrique
Guinée,Afrique
Guinée-Bissau,Afrique
Guinée équatoriale,Afrique
Kenya,Afrique
Lesotho,Afrique
Liberia,Afrique
Libye,Afrique
Madagascar,Afrique
Malawi,Afrique
Mali,Afrique
Maroc,Afrique
Maurice,Afrique
Mauritanie,Afrique
Mozambique,Afrique
Namibie,Afrique
Niger,Afrique
Nigeria,Afrique
Ouganda,Afrique
Rwanda,Afrique
Sahara Occidental,Afrique
Sao Tomé-et-Principe,Afrique
Sénégal,Afrique
Seychelles,Afrique
Sierra Leone,Afrique
Somalie,Afrique
Soudan,Afrique
Soudan du Sud,Afrique
Swaziland,Afrique
Tanzanie,Afrique
Tchad,Afrique
Togo,Afrique
Tunisie,Afrique
Zambie,Afrique
Zimbabwe,Afrique
Antigua-et-Barbuda,Amérique
Argentine,Amérique
Bahamas,Amérique
Barbade,Amérique
Belize,Amérique
Bolivie,Amérique
Brésil,Amérique
Canada,Amérique
Chili,Amérique
Colombie,Amérique
Costa Rica,Amérique
Cuba,Amérique
République dominicaine,Amérique
Dominique,Amérique
Équateur,Amérique
États-Unis,Amérique
Grenade,Amérique
Guatemala,Amérique
Guyana,Amérique
Haïti,Amérique
Honduras,Amérique
Jamaïque,Amérique
Mexique,Amérique
Nicaragua,Amérique
Panama,Amérique
Paraguay,Amérique
Pérou,Amérique
Saint-Christophe-et-Niévès,Amérique
Sainte-Lucie,Amérique
Saint-Vincent-et-les-Grenadines,Amérique
Salvador,Amérique
Suriname,Amérique
Trinité-et-Tobago,Amérique
Uruguay,Amérique
Venezuela,Amérique
Afghanistan,Asie
Arabie saoudite,Asie
Arménie,Asie
Azerbaïdjan,Asie
Bahreïn,Asie
Bangladesh,Asie
Bhoutan,Asie
Birmanie,Asie
Brunei,Asie
Cambodge,Asie
Chine,Asie
Chypre,Asie
Corée du Nord,Asie
Corée du Sud,Asie
Émirats arabes unis,Asie
Géorgie,Asie
Inde,Asie
Indonésie,Asie
Irak,Asie
Iran,Asie
Israël,Asie
Japon,Asie
Jordanie,Asie
Kazakhstan,Asie
Kirghizistan,Asie
Koweït,Asie
Laos,Asie
Liban,Asie
Malaisie,Asie
Maldives,Asie
Mongolie,Asie
Népal,Asie
Oman,Asie
Ouzbékistan,Asie
Pakistan,Asie
Philippines,Asie
Qatar,Asie
Singapour,Asie
Sri Lanka,Asie
Syrie,Asie
Tadjikistan,Asie
Thaïlande,Asie
Timor oriental,Asie
Turkménistan,Asie
Turquie,Asie
Viêt Nam,Asie
Yémen,Asie
Albanie,Europe
Allemagne,Europe
Andorre,Europe
Autriche,Europe
Belgique,Europe
Biélorussie,Europe
Bosnie-Herzégovine,Europe
Bulgarie,Europe
Chypre,Europe
Crete,Europe
Croatie,Europe
Danemark,Europe
Espagne,Europe
Estonie,Europe
Finlande,Europe
France,Europe
Grèce,Europe
Hongrie,Europe
Irlande,Europe
Islande,Europe
Italie,Europe
Lettonie,Europe
Liechtenstein,Europe
Lituanie,Europe
Luxembourg,Europe
Macédoine,Europe
Malte,Europe
Moldavie,Europe
Monaco,Europe
Monténégro,Europe
Norvège,Europe
Pays-Bas,Europe
Pologne,Europe
Portugal,Europe
République tchèque,Europe
Roumanie,Europe
Royaume-Uni,Europe
Russie,Europe
Saint-Marin,Europe
Serbie,Europe
Slovaquie,Europe
Slovénie,Europe
Suède,Europe
Suisse,Europe
Ukraine,Europe
Vatican,Europe
Australie,Océanie
Fidji,Océanie
Kiribati,Océanie
Marshall,Océanie
Micronésie,Océanie
Nauru,Océanie
Nouvelle-Zélande,Océanie
Palaos,Océanie
Papouasie-Nouvelle-Guinée,Océanie
Salomon,Océanie
Samoa,Océanie
Tonga,Océanie
Tuvalu,Océanie
Vanuatu,Océanie
